Date,Type,Comments
20170101,HOLIDAY,元旦
20170102,HOLIDAY,元旦
20170103,WORKDAY,
20170104,WORKDAY,
20170105,WORKDAY,腊八节
20170106,WORKDAY,
20170107,WEEKEND,
20170108,WEEKEND,
20170109,WORKDAY,
20170110,WORKDAY,
20170111,WORKDAY,
20170112,WORKDAY,
20170113,WORKDAY,
20170114,WEEKEND,
20170115,WEEKEND,
20170116,WORKDAY,
20170117,WORKDAY,
20170118,WORKDAY,
20170119,WORKDAY,
20170120,WORKDAY,小年
20170121,WEEKEND,
20170122,WORKDAY,
20170123,WORKDAY,
20170124,WORKDAY,
20170125,WORKDAY,
20170126,WORKDAY,
20170127,HOLIDAY,春节
20170128,HOLIDAY,春节
20170129,HOLIDAY,春节
20170130,HOLIDAY,春节
20170131,HOLIDAY,春节
20170201,HOLIDAY,春节
20170202,HOLIDAY,春节
20170203,WORKDAY,立春
20170204,WORKDAY,
20170205,WEEKEND,
20170206,WORKDAY,
20170207,WORKDAY,
20170208,WORKDAY,
20170209,WORKDAY,
20170210,WORKDAY,
20170211,WEEKEND,元宵节
20170212,WEEKEND,
20170213,WORKDAY,
20170214,WORKDAY,情人节
20170215,WORKDAY,
20170216,WORKDAY,
20170217,WORKDAY,
20170218,WEEKEND,雨水
20170219,WEEKEND,
20170220,WORKDAY,
20170221,WORKDAY,
20170222,WORKDAY,
20170223,WORKDAY,
20170224,WORKDAY,
20170225,WEEKEND,
20170226,WEEKEND,
20170227,WORKDAY,龙头节
20170228,WORKDAY,
20170301,WORKDAY,
20170302,WORKDAY,
20170303,WORKDAY,
20170304,WEEKEND,
20170305,WEEKEND,惊蛰
20170306,WORKDAY,
20170307,WORKDAY,
20170308,WORKDAY,妇女节
20170309,WORKDAY,
20170310,WORKDAY,
20170311,WEEKEND,
20170312,WEEKEND,植树节
20170313,WORKDAY,
20170314,WORKDAY,
20170315,WORKDAY,消费者权益日
20170316,WORKDAY,
20170317,WORKDAY,
20170318,WEEKEND,
20170319,WEEKEND,
20170320,WORKDAY,春分
20170321,WORKDAY,
20170322,WORKDAY,
20170323,WORKDAY,
20170324,WORKDAY,
20170325,WEEKEND,
20170326,WEEKEND,
20170327,WORKDAY,
20170328,WORKDAY,
20170329,WORKDAY,
20170330,WORKDAY,
20170331,WORKDAY,
20170401,WORKDAY,愚人节
20170402,HOLIDAY,清明
20170403,HOLIDAY,清明
20170404,HOLIDAY,清明
20170405,WORKDAY,
20170406,WORKDAY,
20170407,WORKDAY,
20170408,WEEKEND,
20170409,WEEKEND,
20170410,WORKDAY,
20170411,WORKDAY,
20170412,WORKDAY,
20170413,WORKDAY,
20170414,WORKDAY,
20170415,WEEKEND,
20170416,WEEKEND,
20170417,WORKDAY,
20170418,WORKDAY,
20170419,WORKDAY,
20170420,WORKDAY,
20170421,WORKDAY,
20170422,WEEKEND,
20170423,WEEKEND,
20170424,WORKDAY,
20170425,WORKDAY,
20170426,WORKDAY,
20170427,WORKDAY,
20170428,WORKDAY,
20170429,HOLIDAY,五一
20170430,HOLIDAY,五一
20170501,HOLIDAY,五一
20170502,WORKDAY,
20170503,WORKDAY,
20170504,WORKDAY,五四青年节
20170505,WORKDAY,立夏
20170506,WEEKEND,
20170507,WEEKEND,
20170508,WORKDAY,
20170509,WORKDAY,
20170510,WORKDAY,
20170511,WORKDAY,
20170512,WORKDAY,护士节
20170513,WEEKEND,
20170514,WEEKEND,母亲节
20170515,WORKDAY,
20170516,WORKDAY,
20170517,WORKDAY,
20170518,WORKDAY,博物馆日
20170519,WORKDAY,
20170520,WEEKEND,
20170521,WEEKEND,小满
